gidx	chrom	start	end	srd	tpm	IQR	gid	n_tss
g1	B01	44210	44366	+	9.357792472958028	67	Zm00001d027230	1
g2	B01	55405	55778	-	16.520547914794463	56	Zm00001d027231	2
g3	B01	198928	199164	-	8.881130215200217	127	Zm00001d027239	1
g4	B01	215884	216077	-	6.165181321215009	134	Zm00001d027242	2
g5	B01	716683	716880	-	9.453586884518977	30	Zm00001d027259	1
g6	B01	1012207	1012341	+	3.766157550073887	86	Zm00001d027265	2
g7	B01	1031699	1031910	+	7.904496108232457	47	Zm00001d027267	1
g8	B01	1037183	1037366	-	1.6752449551594972	155	Zm00001d027268	3
g9	B01	1073153	1073277	-	1.0356681083322883	60	Zm00001d027271	1
g10	B01	1231229	1236392	-	12.051493251884152	4853	Zm00001d027276	3
g11	B01	1492438	1492493	+	19.753979750185177	21	Zm00001d027278	1
g12	B01	1611531	1611656	-	1.317127903049308	52	Zm00001d027281	1
g13	B01	1715865	1715991	+	6.3553048715861635	76	Zm00001d027283	2
g14	B01	1836909	1836986	-	0.4365654673958659	59	Zm00001d027287	1
g15	B01	1843153	1843628	-	75.4677196146855	212	Zm00001d027288	1
g16	B01	1938597	1938621	+	2.461121896932928	6	Zm00001d027290	1
g17	B01	1942335	1942858	-	1586.4308936669308	6	Zm00001d027291	1
g18	B01	2019521	2019755	+	9.776138822489699	100	Zm00001d027292	1
g19	B01	2033602	2034141	-	83.82638338524023	24	Zm00001d027293	2
g20	B01	2104694	2104811	+	21.31526369549305	6	Zm00001d027295	1
g21	B01	2113174	2113497	-	3.5101634617539674	201	Zm00001d027296	3
g22	B01	2155961	2156393	-	37.768765407483706	65	Zm00001d027298	1
g23	B01	2170706	2171153	-	31.52193998990621	66	Zm00001d022653	2
g24	B01	2289297	2289408	-	3.406552407996824	31	Zm00001d027302	1
g25	B01	2298085	2298211	+	3.5161167401025226	1	Zm00001d027304	1
g26	B01	2387939	2388018	-	5.321104778357278	14	Zm00001d027305	2
g27	B01	2523547	2523832	+	8.309805983482084	164	Zm00001d027307	1
g28	B01	2635617	2635918	-	22.09197035691028	119	Zm00001d027309	2
g29	B01	2746424	2746629	+	10.383816744826445	119	Zm00001d027311	1
g30	B01	2774095	2774178	+	1.2228284036121735	61	Zm00001d027312	1
g31	B01	2782286	2782447	-	14.809109609106446	7	Zm00001d027313	2
g32	B01	2809744	2809969	+	4.272445545151371	135	Zm00001d027314	1
g33	B01	2813740	2813752	-	0.5325479037220401	4	Zm00001d027315	1
g34	B01	2819127	2819523	+	5.568051239066024	341	Zm00001d027317	3
g35	B01	2829736	2829908	-	18.979161178625294	7	Zm00001d027318	1
g36	B01	2869617	2869845	+	5.574469098017195	133	Zm00001d027319	1
g37	B01	2883496	2889258	+	18.819814091390672	5610	Zm00001d027321	3
g38	B01	2934089	2934401	+	46.92655459590415	76	Zm00001d027323	1
g39	B01	2959424	2959703	+	19.47453635989812	74	Zm00001d027324	2
g40	B01	2974238	2974503	+	4.593415864575991	217	Zm00001d027325	2
g41	B01	2997051	2997191	-	10.239312846524793	71	Zm00001d027326	1
g42	B01	3031993	3032140	+	1.5007457699081153	61	Zm00001d027329	1
g43	B01	3051453	3051689	+	32.38035260694991	111	Zm00001d027330	1
g44	B01	3095617	3095689	-	28.26673123334235	6	Zm00001d027332	1
g45	B01	3104135	3104253	+	4.141856303031717	74	Zm00001d027333	1
g46	B01	3124186	3124562	+	7.9149390141838465	68	Zm00001d027334	2
g47	B01	3176333	3176946	-	37.975881381629925	126	Zm00001d027335	4
g48	B01	3224412	3224552	+	1.8068279913333125	81	Zm00001d027337	1
g49	B01	3230994	3231064	+	1.066815883350822	7	Zm00001d027338	1
g50	B01	3233803	3233881	-	1.9371225043589122	21	Zm00001d027339	1
g51	B01	3272183	3272324	+	5.57334686357752	51	Zm00001d027340	1
g52	B01	3291155	3291198	-	0.502711499284909	11	Zm00001d027341	1
g53	B01	3294552	3294753	-	14.719568528781302	51	Zm00001d027342	1
g54	B01	3368208	3368270	+	0.5333928700727044	10	Zm00001d027343	1
g55	B01	3371323	3371573	+	29.86164563408884	4	Zm00001d027344	1
g56	B01	3378311	3378407	-	12.416132133085368	25	Zm00001d027345	1
g57	B01	3379074	3379418	+	50.65769794571195	44	Zm00001d027346	1
g58	B01	3385482	3385611	-	3.0672731929382757	65	Zm00001d027347	1
g59	B01	3441515	3441836	+	15.870664830866014	153	Zm00001d027348	1
g60	B01	3446155	3446266	-	3.308758977358419	54	Zm00001d027349	1
g61	B01	3482833	3483247	+	6.847993834109692	218	Zm00001d027351	2
g62	B01	3489374	3489493	+	2.845247468326844	48	Zm00001d027352	1
g63	B01	3497105	3497306	-	7.142136866756818	148	Zm00001d027353	2
g64	B01	3544452	3544744	+	33.475370622067466	60	Zm00001d027354	1
g65	B01	3573195	3573873	+	33.462409041280345	31	Zm00001d027355	1
g66	B01	3661045	3661272	-	5.218865256391726	81	Zm00001d027359	1
g67	B01	3741724	3741990	+	0.9763274378717641	251	Zm00001d027361	2
g68	B01	3771774	3772237	+	13.326833434106506	239	Zm00001d027362	1
g69	B01	3777961	3778078	-	2.627298180478388	52	Zm00001d027363	1
g70	B01	3799323	3799427	+	0.607587282279152	68	Zm00001d027365	1
g71	B01	3807051	3807671	-	9.408726309981095	105	Zm00001d027366	2
g72	B01	3807278	3807464	+	5.745090055035297	100	Zm00001d027367	1
g73	B01	3811453	3811564	+	6.061601725989	61	Zm00001d027368	1
g74	B01	3842240	3842382	+	7.026622548638808	80	Zm00001d027369	1
g75	B01	3849465	3849644	+	4.9365988785058095	91	Zm00001d027370	1
g76	B01	3912813	3913271	+	24.731385578232857	45	Zm00001d027371	1
g77	B01	3960213	3960444	+	16.107400405833975	42	Zm00001d027373	1
g78	B01	3968200	3968483	-	6.8518112084839125	119	Zm00001d027374	1
g79	B01	3971425	3971432	+	0.5733621116831835	3	Zm00001d027375	1
g80	B01	3984087	3984225	-	6.815181793414638	54	Zm00001d027376	1
g81	B01	4110017	4110251	+	8.090322242011789	90	Zm00001d027383	1
g82	B01	4114970	4115117	+	1.7783921885041056	49	Zm00001d027384	1
g83	B01	4120627	4120757	-	2.608550253925007	67	Zm00001d027385	1
g84	B01	4135704	4135915	-	8.08999962552586	168	Zm00001d027387	2
g85	B01	4149848	4150197	-	108.7301083406737	55	Zm00001d027389	1
g86	B01	4220788	4221230	+	31.16514521788638	135	Zm00001d027392	1
g87	B01	4340103	4340309	+	28.972951647759558	6	Zm00001d027394	1
g88	B01	4402283	4402405	+	1.8374203889437164	55	Zm00001d027399	1
g89	B01	4417769	4417965	+	4.434513678262161	73	Zm00001d027402	1
g90	B01	4425663	4425891	-	3.0297012276452087	114	Zm00001d027401	2
g91	B01	4499399	4499655	-	1.7272257166247655	223	Zm00001d027403	2
g92	B01	4535367	4535463	-	0.9041812362483442	43	Zm00001d027404	1
g93	B01	4538137	4538265	-	7.892254029203967	7	Zm00001d027405	1
g94	B01	4660576	4661383	+	10.40002174705693	684	Zm00001d027409	4
g95	B01	4722004	4722381	-	32.98601784049817	69	Zm00001d027411	1
g96	B01	4736505	4736842	-	11.810960300345435	130	Zm00001d027412	1
g97	B01	4832919	4833024	+	1.0792661236990797	67	Zm00001d027415	1
g98	B01	4842603	4842736	-	2.805592962878984	20	Zm00001d027416	1
g99	B01	4891052	4891147	+	1.810039445889405	81	Zm00001d027419	2
g100	B01	4903117	4903403	-	32.73040234214	28	Zm00001d027421	1
g101	B01	4909328	4909476	-	3.4436456805220517	81	Zm00001d027422	1
g102	B01	4914602	4914658	-	6.106409422715317	0	Zm00001d027423	1
g103	B01	4994525	4994868	-	2.698105973152552	284	Zm00001d027425	2
g104	B01	5095352	5095601	+	16.840150409736427	60	Zm00001d027427	1
g105	B01	5104411	5104655	-	4.367020078594403	183	Zm00001d027428	2
g106	B01	5106816	5106910	+	2.034717573003828	38	Zm00001d027429	1
g107	B01	5110979	5111398	+	15.473186006287833	98	Zm00001d027430	3
g108	B01	5122600	5123778	+	17.008954394245357	708	Zm00001d027431	4
g109	B01	5159251	5159664	+	39.82990665168254	106	Zm00001d027434	1
g110	B01	5202746	5203242	+	19.78289190627875	203	Zm00001d027435	2
